bedrooms,bathrooms,sqft_lot,floors,view,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,yr_since_renovation,cluster
3,1.0,8410,1.0,0,7,1040,0,1942,1350,8410,0.0,8
4,2.0,12607,2.0,0,10,2810,0,1985,2810,17400,30.0,5
1,1.5,5750,1.0,0,7,1010,0,1911,1230,5750,66.0,0
3,2.5,7752,2.0,0,8,2250,0,1988,2080,7033,27.0,3
3,2.0,8000,1.0,0,8,1800,0,1972,1950,8500,42.0,10
3,1.0,17239,1.0,0,7,1890,510,1940,2390,7350,75.0,3
4,1.0,4000,1.5,0,7,1780,0,1922,1750,4000,92.0,7
3,2.0,14915,1.0,0,9,1720,400,1979,2320,13100,35.0,17
3,2.5,6607,2.0,0,7,1860,0,1989,1760,6766,25.0,17
3,3.5,1021,2.0,0,8,1150,310,2006,1460,1245,8.0,13
3,1.0,10350,1.0,0,7,1230,0,1957,1510,10427,57.0,5
2,1.0,8453,1.0,0,6,1088,0,1952,1088,8016,6.0,6
3,1.0,5760,1.0,0,6,700,100,1949,1060,6628,65.0,19
3,1.0,10350,1.0,0,7,1190,0,1959,1850,10500,56.0,3
5,3.0,4182,1.0,0,7,1240,700,2002,1950,4182,13.0,5
4,2.5,10764,1.0,0,9,1720,1580,1971,2290,10975,43.0,7
4,2.5,11018,2.0,0,8,2590,0,1998,2400,8042,17.0,6
3,2.0,11375,1.0,0,8,2080,0,2002,1080,12899,12.0,1
4,2.0,5439,2.0,0,7,2680,0,2000,2460,4473,15.0,3
3,2.5,8364,1.0,0,7,1300,370,1990,1490,8143,24.0,14
3,1.0,4400,1.5,0,8,1720,110,1930,1650,4400,85.0,13
3,2.0,2003,1.0,0,8,700,700,1908,1370,1281,8.0,7
4,2.0,8521,1.0,0,7,1470,1300,1953,1910,9380,61.0,10
3,2.5,11019,1.0,0,9,2150,1480,1972,3150,13555,43.0,15
3,1.0,8128,1.0,0,6,1040,0,1983,1520,7500,31.0,2
5,2.0,5000,1.5,0,7,2020,0,1938,1510,6600,76.0,7
4,3.0,12675,2.0,0,7,2030,0,1982,1990,7705,33.0,19
3,1.0,6776,1.0,0,7,1450,0,1952,1680,7200,62.0,8
4,2.5,7270,2.0,0,8,2400,0,1993,2150,6584,22.0,6
4,3.0,8625,1.0,1,8,1860,1010,1959,2430,8479,56.0,19
4,1.0,22500,1.5,0,7,1340,0,1926,1620,10800,88.0,8
3,2.5,11312,1.0,0,7,1080,600,1959,1390,10700,55.0,8
4,2.0,8827,1.0,0,7,1850,0,1969,1310,6901,45.0,19
3,1.0,8040,1.5,0,7,1220,0,1965,1360,8040,50.0,19
3,2.5,57063,1.0,0,9,1790,530,1979,3290,7314,35.0,4
5,2.0,9603,2.0,0,8,3220,0,1972,2260,10093,42.0,10
4,3.0,9023,2.0,0,9,3190,0,2005,3159,5615,9.0,4
3,3.0,69834,2.0,0,10,3530,0,1994,3560,74256,20.0,2
3,2.0,10519,1.0,0,7,1240,810,1979,1770,9605,35.0,5
3,2.0,12540,1.0,0,7,1720,0,1956,1440,11850,58.0,15
3,2.0,12473,1.0,0,8,1420,460,1958,2300,10469,56.0,3
4,2.5,6479,2.0,0,9,3110,0,2005,3110,7075,9.0,11
4,2.5,7475,2.0,0,8,2360,0,1992,2280,7570,22.0,12
3,2.5,5496,2.0,0,8,2180,0,1994,2120,5496,21.0,4
2,2.0,3376,2.0,0,8,1910,0,1980,1470,3623,34.0,14
4,2.5,7753,2.0,0,9,2260,0,1989,2690,8924,25.0,4
3,2.0,8868,1.0,0,7,1770,0,1959,1630,9706,55.0,6
3,2.0,7930,1.0,0,7,1460,0,1989,1630,7930,26.0,14
4,3.0,5000,1.0,0,8,1470,610,1940,1970,5000,75.0,7
5,2.0,7680,1.0,2,8,1550,1410,1958,2860,7680,56.0,7
4,2.5,4031,2.0,0,9,3220,0,2002,3150,5083,13.0,10
3,1.0,5000,1.0,0,7,1140,0,1960,1140,5000,54.0,0
4,2.0,12377,1.0,0,8,1660,0,1966,1820,8968,49.0,10
4,1.0,6240,1.5,0,7,1430,0,1953,1410,6240,62.0,19
3,3.0,4300,1.5,0,8,1620,200,1914,1440,4300,32.0,7
4,3.0,10202,2.0,0,8,2720,820,1988,2780,10714,27.0,15
4,1.0,6000,1.5,0,7,1620,0,1905,1310,6000,109.0,5
4,3.0,14568,2.0,0,8,3100,0,1995,2860,14396,20.0,2
4,2.0,6820,1.5,0,7,1500,0,1905,1360,4125,109.0,7
4,2.5,5510,2.0,0,9,2820,0,2005,2820,5510,10.0,14
3,2.0,10920,1.5,0,6,1850,0,1915,1510,7871,100.0,3
4,2.0,9415,2.0,0,7,1570,0,1984,1550,8978,30.0,12
4,3.0,37533,1.0,3,8,1550,750,1979,2130,10092,35.0,17
3,2.5,7000,2.0,0,8,1600,0,1993,1700,7000,21.0,14
3,2.5,10047,2.0,0,9,2630,0,1996,2640,10620,18.0,4
4,3.0,13530,1.0,0,8,1540,1480,1977,2230,11896,37.0,10
3,2.0,10757,1.0,0,7,1060,430,1966,1490,10609,49.0,3
3,1.5,5200,1.0,0,7,1160,0,1970,1170,5200,44.0,14
4,2.5,4443,2.0,0,8,2040,0,2001,2040,4637,13.0,12
2,2.5,2657,2.0,0,8,1550,0,1987,1570,2442,28.0,3
4,2.0,7610,1.0,0,8,1290,700,1966,1820,8198,48.0,10
3,2.0,46609,1.5,0,7,1440,460,1969,2460,43560,45.0,18
5,3.5,8279,2.0,0,9,3840,0,2001,3570,8279,13.0,4
4,3.0,7680,1.0,0,7,1200,1200,1956,2670,6342,59.0,7
3,1.0,21514,1.0,0,7,1660,0,1973,1660,21600,41.0,1
3,2.0,17120,1.0,2,8,1890,140,1966,1870,13662,48.0,6
2,1.0,5087,1.0,0,7,840,0,1925,1590,5087,89.0,13
4,2.0,8175,1.0,0,7,1450,0,1967,1570,9024,48.0,12
3,1.5,9908,1.0,0,7,1460,0,1952,1420,9582,62.0,8
4,2.5,7631,2.0,2,9,2910,0,2006,3190,5552,8.0,14
4,2.0,8800,1.0,0,7,1130,750,1960,1340,8733,54.0,8
3,2.0,26460,1.0,0,8,1450,720,1986,2090,29075,28.0,4
2,1.0,4377,1.0,0,7,1260,0,1947,1420,6376,67.0,7
3,2.5,9153,2.0,0,8,1970,0,2007,1800,9800,7.0,19
4,2.0,45738,2.0,0,8,2090,0,1987,3420,45738,27.0,2
4,4.0,4940,2.0,0,10,2570,880,2006,1880,5387,9.0,7
3,1.5,7200,1.0,0,7,1130,0,1954,1130,7200,61.0,8
3,2.0,7668,1.0,0,8,1300,1300,1968,1980,13664,46.0,14
3,1.0,7620,1.0,0,7,1030,0,1953,1030,7560,61.0,0
2,1.0,6718,1.0,2,7,1230,470,1956,2040,7500,59.0,8
2,2.5,2167,2.0,0,8,1390,90,2007,2130,2556,7.0,10
4,2.5,19387,2.0,2,9,3260,990,1972,3690,17024,42.0,15
3,2.0,20873,1.0,0,8,1600,0,1955,2640,18364,59.0,15
4,2.0,8750,1.0,2,7,1870,0,1977,1770,8207,37.0,1
3,2.5,7741,1.0,0,7,1000,440,1983,1680,7316,31.0,12
3,1.5,8410,1.0,0,6,1240,0,1948,1630,8410,67.0,19
3,1.0,6120,1.0,0,7,1020,0,1967,1370,8000,48.0,6
2,0.5,7750,1.0,0,6,590,590,1945,1380,8976,69.0,19
5,3.5,7759,2.0,0,8,2310,770,2003,2980,8223,11.0,2
4,2.5,6397,2.0,0,7,1750,0,1988,1940,6502,27.0,17
4,2.0,8736,1.0,0,7,1210,1320,1958,1720,8500,56.0,10
3,2.5,8541,2.0,0,7,1580,0,1990,1640,7542,24.0,17
4,3.0,3844,1.0,0,7,1200,1200,1974,1100,3844,40.0,7
3,1.5,7600,1.0,0,7,1300,0,1963,1570,7600,52.0,1
3,2.0,7147,1.0,0,6,880,880,1936,1720,7147,79.0,5
4,1.5,5910,1.0,0,7,1020,500,1946,1710,5910,68.0,19
3,2.0,8100,1.0,0,6,1070,0,1957,1260,8100,57.0,6
3,2.0,216777,1.0,0,8,2560,0,1986,2360,108463,28.0,14
3,1.0,6726,1.0,0,6,1280,0,1958,1630,5000,56.0,13
4,2.0,7350,1.0,0,8,1660,0,1965,1790,7455,0.0,10
3,1.5,7963,1.0,0,7,1200,660,1963,1800,10400,51.0,8
2,1.0,4500,1.0,2,7,850,100,1926,1670,4000,88.0,7
4,3.0,4000,1.0,0,7,1190,950,1951,2140,4770,63.0,19
2,1.5,1349,2.0,0,7,1240,240,2007,1550,1349,8.0,0
3,3.0,1825,2.0,0,8,1660,600,2002,2260,1834,12.0,13
4,2.5,6158,2.0,0,9,2300,0,1999,2170,6434,15.0,19
3,3.0,7272,1.0,0,7,1230,420,1972,1770,7272,43.0,3
3,2.0,3000,1.5,0,7,1230,760,1908,1600,4080,44.0,13
4,2.0,7560,1.0,0,7,1160,800,1978,1950,7560,36.0,12
3,1.5,10491,1.0,0,7,1310,0,1969,1430,9664,45.0,12
4,3.0,15002,1.0,0,9,2450,0,1974,2650,15055,40.0,8
3,1.0,8658,1.0,0,7,910,0,1955,1170,10200,59.0,19
3,2.0,9719,1.0,0,7,1580,0,1962,1760,8539,53.0,15
3,2.0,9689,1.0,0,7,1130,650,1976,1660,9786,38.0,3
3,1.5,1824,1.0,0,6,1040,0,1925,1010,5100,90.0,19
4,2.5,41600,1.0,0,8,1640,700,1977,2340,34960,37.0,18
3,2.5,8755,1.0,0,8,1000,720,1983,1720,8690,31.0,17
3,1.5,10440,1.0,0,7,1600,0,1954,1600,8816,60.0,19
3,1.5,9750,1.0,0,7,1320,0,1954,1530,9750,60.0,8
5,3.0,5616,1.5,0,7,1670,1070,1925,1600,4592,89.0,19
4,2.5,6448,2.0,0,8,2300,0,2001,1860,5872,13.0,12
5,3.0,37169,2.0,0,10,2950,1400,1972,3280,41631,42.0,10
3,2.0,7700,1.0,0,7,980,450,1981,1430,8625,34.0,12
3,2.0,14012,1.0,0,9,2400,0,1971,2800,13988,44.0,17
3,1.0,7910,1.0,0,6,940,0,1959,1000,7700,55.0,10
3,1.0,13504,1.0,0,7,1020,0,1959,1110,11158,56.0,5
2,2.0,5756,2.0,0,7,1680,0,1910,1340,5447,104.0,6
2,1.0,9840,1.0,0,7,1340,0,1949,1610,8949,65.0,19
4,3.0,7012,2.0,0,10,3960,0,2005,3680,8522,9.0,4
4,2.0,9680,2.0,2,8,2120,0,1965,2360,9647,49.0,17
4,2.0,14810,2.0,0,8,2490,360,1954,2430,10454,60.0,15
6,2.0,6969,1.0,0,7,1870,0,1968,1500,6969,46.0,4
4,2.0,8160,1.0,0,7,1380,1280,1949,1660,8160,65.0,19
3,1.0,11120,1.0,0,6,1190,0,1947,1230,12720,67.0,11
2,1.0,5522,1.5,0,7,960,810,1943,1830,7378,71.0,5
4,2.5,8100,1.0,2,8,1220,860,1952,2090,8100,62.0,19
5,2.0,9000,2.0,0,9,2700,0,1987,2630,9000,27.0,10
4,3.0,9453,1.0,0,8,1100,1100,1955,1390,5355,59.0,13
3,2.5,4059,2.0,0,8,2010,0,1998,2010,5779,16.0,3
3,3.0,51177,2.0,0,9,4460,0,2005,2670,38925,9.0,12
3,1.5,17208,1.0,0,8,1160,610,1959,2450,17118,55.0,15
3,1.0,5000,1.0,0,7,1430,0,1949,1210,5000,66.0,7
4,2.0,10642,1.0,0,7,850,850,1954,1610,11200,61.0,15
4,2.0,5220,1.5,0,7,1830,0,1951,1760,5757,64.0,13
3,1.5,8800,1.0,0,7,1410,0,1965,2180,10108,49.0,6
4,2.5,7920,1.0,0,8,1810,1250,1974,2690,7767,41.0,3
3,2.0,15068,2.0,2,7,1520,300,1920,1490,9589,0.0,1
4,2.0,13211,1.5,0,7,2430,0,1909,1330,10500,36.0,11
2,1.0,6840,1.0,0,6,740,0,1942,740,6840,72.0,0
3,1.0,6552,1.0,0,6,670,100,1942,920,7200,73.0,0
3,3.0,23085,1.5,2,7,1540,1380,1908,2270,18180,107.0,0
4,2.5,7000,1.0,0,7,1250,790,1979,1900,7378,36.0,12
3,2.0,4510,1.0,0,7,990,610,1978,1580,4561,36.0,7
4,2.5,3980,2.0,0,7,1990,0,2002,1990,4373,12.0,5
4,2.5,7308,2.0,0,7,1830,0,2002,1830,5692,13.0,14
3,2.5,4260,2.0,0,7,2540,0,2005,2190,4260,10.0,12
4,2.0,10800,1.0,0,7,1440,0,1967,1190,7380,48.0,6
3,2.0,4000,1.0,0,7,940,610,1955,1880,4000,60.0,7
3,2.5,4343,2.0,0,9,2490,0,2003,2130,4106,11.0,4
5,2.5,12987,1.0,0,7,1350,1300,1979,2160,12726,35.0,3
4,2.0,3800,2.0,0,8,2000,0,2001,1610,3800,13.0,19
3,2.5,58712,2.5,3,9,2280,0,1987,2240,24332,27.0,14
2,1.5,1194,3.0,0,7,1320,0,2001,1320,1250,13.0,7
4,2.5,7800,2.0,0,8,2070,0,1989,1950,7815,25.0,17
3,2.0,4777,2.0,0,7,1860,0,1908,1580,3822,106.0,19
3,1.0,7811,1.0,0,6,940,0,1959,1180,7490,55.0,10
4,3.0,21486,1.0,2,7,2290,0,1963,2540,15936,52.0,15
3,2.0,3500,1.5,0,7,1290,540,1909,1530,4000,105.0,0
4,2.5,7112,2.0,0,9,3090,0,2001,3050,6000,13.0,18
4,3.5,217800,2.0,0,11,4340,0,2003,3430,219106,11.0,2
3,3.0,12682,2.0,1,9,3200,0,1977,2880,10432,37.0,3
4,1.0,8450,1.5,0,6,1560,0,1954,1380,8100,60.0,8
3,2.0,13356,1.0,0,7,1280,0,1994,1590,8071,20.0,14
4,2.5,6236,2.0,0,7,2020,0,2002,1940,5076,12.0,6
3,1.0,8122,1.0,0,7,1040,0,1971,1470,8676,44.0,17
4,3.0,7209,1.0,3,7,1330,930,2002,1790,10860,13.0,19
3,1.0,7632,1.0,0,6,860,0,1920,890,7632,94.0,8
5,1.0,19040,1.0,0,7,1160,760,1961,1920,11520,53.0,8
4,2.0,9215,1.0,0,8,1270,1020,1969,2290,10200,45.0,4
4,3.0,9300,1.0,0,7,1120,950,1945,1010,8308,69.0,19
6,3.0,4400,2.5,0,7,3020,1230,1902,1520,4950,112.0,13
2,2.0,4076,1.0,0,8,1140,700,1957,1540,4076,57.0,7
4,2.5,9753,2.0,0,10,2590,0,1993,2800,9917,21.0,4
5,2.0,6131,1.0,0,7,1560,1550,1940,1720,6600,74.0,13
3,2.0,105587,1.0,0,7,1300,1300,1980,1941,208438,34.0,0
2,1.0,8187,1.0,0,6,1060,0,1952,1260,8188,62.0,19
3,2.0,3880,1.0,0,7,750,500,1944,1240,3880,70.0,7
4,2.5,35636,2.0,0,8,2520,0,1980,2230,35673,34.0,2
3,2.0,9957,1.0,0,8,1440,630,1977,2070,10158,38.0,19
2,1.0,44431,1.0,0,6,1300,0,1958,1470,14850,56.0,6
5,2.0,8316,1.0,0,7,1390,800,1961,2010,8316,53.0,13
4,3.0,13113,1.0,0,8,1760,1000,1974,1900,13113,40.0,19
3,2.0,7134,1.0,0,7,1130,580,1979,1790,7455,36.0,12
3,2.0,7000,1.0,0,8,1750,0,1993,1840,6969,21.0,14
3,2.0,3600,2.0,0,7,1552,0,2012,1677,3600,3.0,12
6,2.0,6554,2.0,1,8,2000,350,1905,1560,6554,109.0,8
5,3.5,10018,2.0,0,10,3850,1260,2003,1790,10018,11.0,3
3,2.5,99916,2.0,0,7,1720,0,1990,1340,73180,24.0,14
4,2.5,7230,2.0,0,8,1960,0,2002,1850,7208,12.0,17
2,1.0,19602,1.0,0,6,1270,0,1977,1270,17699,37.0,14
3,1.5,7000,1.0,0,7,1180,0,1977,1630,7500,37.0,17
4,2.0,6791,2.0,0,8,2230,0,2005,2420,6297,9.0,14
4,3.0,38412,2.0,0,10,3420,1280,1978,3640,35571,36.0,10
3,2.5,8361,2.0,0,8,2150,0,1991,2150,9368,23.0,5
3,2.5,81892,2.0,0,8,2400,0,1985,1370,37270,29.0,9
3,2.5,12750,2.0,0,7,1830,0,1991,1610,10000,23.0,8
4,3.0,6977,2.0,0,8,2800,0,2003,2800,6600,11.0,14
3,2.5,7163,2.0,0,8,2090,0,1989,2320,8634,25.0,6
4,2.0,13406,1.0,0,9,2340,0,1963,2340,10743,52.0,15
4,2.0,9472,1.0,0,7,1100,570,1960,1080,5195,54.0,0
4,2.0,7350,1.0,0,8,1180,810,1978,2030,7210,36.0,17
4,2.0,7800,1.0,0,7,1290,980,1977,1480,7280,37.0,3
3,1.0,4500,1.0,0,6,950,0,1943,1140,4500,72.0,13
3,2.0,11200,1.0,0,7,1610,0,1955,1610,11200,59.0,10
4,2.5,7107,2.0,0,7,1940,0,2000,1850,5705,14.0,14
3,1.0,9473,1.0,0,7,1210,0,1955,1700,11465,59.0,15
4,2.5,4412,2.0,0,9,2570,0,2001,2460,5470,13.0,3
3,2.0,2800,2.0,0,7,1150,550,1926,1500,3400,89.0,19
4,1.0,24000,1.5,0,6,1610,0,1947,1270,9600,67.0,6
4,3.5,7304,2.0,0,11,3070,1050,2006,2470,9600,8.0,10
3,3.5,11340,1.0,0,8,1690,1190,1980,2530,11340,1.0,4
4,2.0,8548,2.0,0,8,1990,0,1973,2320,8926,41.0,10
3,2.0,8092,1.0,0,7,1260,0,1986,1950,8092,28.0,14
6,3.0,248600,2.0,0,8,4750,0,1947,2230,311610,67.0,1
4,3.0,10450,2.0,0,9,3010,0,1996,3010,10530,18.0,18
3,2.5,64073,1.0,0,8,1820,590,1976,2980,48760,38.0,18
3,1.5,7742,1.0,0,7,1280,0,1973,1566,7696,41.0,6
3,1.0,6750,1.0,0,7,1160,1160,1960,1230,6075,55.0,13
3,1.0,6600,1.0,0,6,1220,0,1958,1100,6600,56.0,11
2,1.5,4050,1.0,0,8,1400,0,1954,1900,5940,61.0,19
3,2.0,7280,1.0,0,7,1140,450,1974,1590,9634,41.0,5
4,2.5,7064,2.0,0,8,2220,0,1988,2220,7451,26.0,4
2,2.5,7781,2.0,0,8,2770,0,2006,1870,5984,8.0,2
4,2.5,16801,2.0,0,8,2303,0,1995,2080,14013,20.0,2
3,2.0,10530,1.0,2,8,1600,0,1962,2590,8274,53.0,19
4,2.0,6060,1.0,0,7,860,420,1926,1490,4680,88.0,7
5,2.5,5901,2.0,0,9,2900,0,2006,3200,5775,8.0,4
3,2.0,15207,1.0,0,10,2070,880,1966,2950,22000,49.0,15
3,2.5,6698,2.0,0,7,1700,0,1997,2190,7346,17.0,14
3,3.0,7200,1.0,0,7,1050,0,1985,1860,9000,29.0,19
3,1.0,6090,1.0,0,7,1240,0,1950,1550,9096,64.0,19
2,1.0,13500,1.0,0,7,780,0,1946,2200,67518,25.0,18
2,2.0,1656,2.0,0,8,850,0,2001,850,1312,13.0,19
3,2.0,9000,1.0,0,8,1540,0,1971,1710,7488,44.0,19
4,2.5,42077,2.0,0,8,2280,0,1994,2280,36236,20.0,14
3,2.0,9674,1.0,0,7,1850,700,1959,2240,9674,55.0,8
2,2.0,7607,1.0,0,8,1770,0,1987,2090,7109,28.0,5
3,2.0,10900,2.0,0,7,2320,0,1935,1610,5800,40.0,19
2,3.0,2031,2.0,0,8,1310,260,2006,1570,2039,8.0,0
4,2.5,7161,2.0,0,8,2860,200,2005,2950,6822,10.0,11
4,2.5,8540,1.0,0,7,1220,740,1955,1910,9120,59.0,19
3,1.0,3315,1.0,0,6,1090,0,1969,960,3120,45.0,12
3,1.0,8512,1.0,0,7,940,0,1967,1060,8512,47.0,3
5,3.5,13885,2.0,3,9,2540,1340,1979,3690,13885,35.0,15
5,2.0,15525,1.0,0,7,1770,0,1959,1370,10395,55.0,5
4,2.5,10576,2.0,0,11,3640,0,1999,3370,10351,15.0,4
2,2.5,1845,2.0,0,9,1590,0,1997,2320,3174,17.0,3
4,1.0,6034,1.0,0,6,1050,240,1950,1060,6034,65.0,8
5,3.0,51836,1.0,0,8,2174,1481,1955,2530,8606,60.0,10
3,2.5,3999,2.0,0,7,1470,0,2003,1960,4444,11.0,11
3,3.0,6132,2.0,3,10,2600,1360,1933,2730,5221,82.0,7
3,3.5,29982,1.0,3,8,2630,560,1941,2600,19878,74.0,8
2,1.0,7440,1.0,0,6,810,0,1948,830,7500,66.0,19
5,2.5,5377,2.0,0,9,2980,0,2006,3150,6593,8.0,18
4,2.5,35000,1.0,0,9,2780,0,1985,2740,35072,29.0,18
2,1.0,8100,1.0,0,7,1340,0,1953,1700,8100,61.0,7
3,2.0,5980,1.5,0,8,1360,0,1945,1520,4440,6.0,0
3,2.0,6530,1.0,0,7,1320,0,1989,1620,6817,25.0,17
3,2.0,14499,1.0,0,7,1210,0,1984,1570,15360,31.0,9
4,2.5,7607,2.0,0,8,1940,0,1995,2250,7600,20.0,10
4,2.5,6566,2.0,0,8,1980,0,2004,2590,6999,11.0,14
4,2.5,14240,1.0,0,9,1620,700,1974,2810,13200,40.0,10
4,2.0,4788,1.0,0,7,1660,0,1968,1150,5000,47.0,13
3,2.5,1545,2.0,2,9,1400,260,2002,1820,2570,12.0,7
2,1.0,3420,1.0,0,7,780,300,1922,1380,3656,92.0,7
2,1.0,11165,1.5,0,7,1510,0,1921,2210,8851,93.0,19
4,2.0,13720,2.0,0,9,3070,0,1978,3010,9657,37.0,10
2,1.0,10423,1.0,0,7,970,0,1947,1200,7857,67.0,19
4,2.0,11651,2.5,0,8,2140,0,1930,2030,10978,13.0,1
3,2.0,1488,3.0,0,7,1260,0,2009,1190,1095,5.0,19
3,1.0,7771,1.0,0,7,1220,0,1963,1420,7674,51.0,10
3,2.0,8145,2.0,0,7,1720,0,1949,1400,8138,66.0,19
4,1.5,4923,1.5,0,8,1420,0,1928,1470,4923,86.0,7
4,2.5,8451,2.0,0,8,2060,0,1995,2060,9460,19.0,19
3,1.0,9520,1.0,0,7,990,330,1953,1460,10610,61.0,8
3,2.0,10463,1.0,0,7,1810,0,1969,1620,8551,46.0,5
4,2.5,16263,2.0,0,9,2980,0,1989,2730,10018,25.0,15
2,2.0,2560,1.0,0,8,1350,0,1976,1790,2560,38.0,10
3,2.0,8011,1.0,0,7,1540,0,1988,1630,7141,26.0,3
3,2.5,9240,2.0,0,8,2510,0,2001,2690,9240,14.0,1
3,2.5,5146,2.0,0,8,1670,0,1991,1940,5146,24.0,4
5,3.5,11928,2.0,0,9,2540,1150,2006,2640,11928,8.0,4
3,1.0,11457,1.0,0,8,1320,0,1959,1900,9800,55.0,3
4,2.0,10450,1.0,0,8,1620,250,1978,2060,10450,37.0,15
3,1.0,8816,1.0,0,6,1170,0,1966,1200,9108,48.0,17
3,1.5,8726,1.0,0,7,1190,0,1956,1390,8741,58.0,8
3,2.0,3880,1.0,0,7,1160,920,1954,1330,3880,60.0,7
4,2.0,8555,1.0,2,7,1460,690,1982,1480,7405,33.0,0
3,2.0,7344,1.0,0,7,1580,0,1911,1580,6207,103.0,0
3,2.0,7344,1.0,0,7,1580,0,1911,1580,6207,104.0,0
3,2.5,3239,2.0,0,8,1950,420,2006,2520,3431,9.0,3
3,2.0,8601,1.0,0,7,920,920,1905,1390,7452,0.0,13
4,2.5,5500,2.0,2,9,2660,0,2003,3620,5500,11.0,4
3,2.5,3600,2.0,0,9,2190,0,2003,2300,3600,12.0,4
3,2.0,3478,1.5,0,7,1100,560,1929,1610,3478,85.0,7
3,2.0,37801,1.0,0,7,1300,480,1977,2380,47480,38.0,4
2,1.0,5200,1.0,0,6,700,0,1952,1030,5200,62.0,5
4,2.0,11200,1.0,0,7,1120,450,1959,1570,11200,55.0,3
3,2.0,216332,1.0,0,7,1220,0,1981,1540,61419,34.0,2
3,3.0,219978,2.0,0,9,3000,150,1990,3180,218235,24.0,11
4,2.5,4736,2.0,0,7,2690,0,2001,2690,4791,13.0,2
2,1.0,6400,1.0,0,6,680,0,1943,1240,7800,71.0,8
6,3.0,14150,2.0,2,9,2750,1000,1936,2140,7968,46.0,7
3,1.0,11675,1.0,0,7,1010,0,1957,1370,10042,58.0,8
3,1.5,4500,1.5,0,8,1410,300,1928,1860,6000,86.0,13
4,2.5,6023,2.0,0,8,2090,0,1990,2090,6023,24.0,4
3,1.0,4500,1.5,0,7,1560,0,1903,1660,4500,112.0,13
3,2.5,4200,2.0,0,7,1560,0,2003,1560,4200,11.0,14
4,2.5,11473,2.0,0,8,2570,0,2008,2430,5997,6.0,6
3,1.0,7633,1.0,0,6,1010,0,1961,1190,8386,53.0,17
2,1.0,5130,1.0,0,6,1020,0,1948,1200,6497,66.0,6
5,2.5,9720,2.0,0,8,1710,0,1974,2270,9672,40.0,15
3,3.0,12197,2.0,0,8,2300,0,1989,1710,11220,26.0,8
4,2.0,7712,1.0,0,8,1210,780,1973,1720,7393,41.0,4
3,2.0,15677,2.5,3,9,2730,0,1976,2040,12209,38.0,8
4,2.0,2681,1.0,0,7,1060,1135,1912,1710,1280,102.0,7
2,2.0,4675,1.0,0,8,1560,0,2006,1870,6361,8.0,2
3,2.5,4800,1.0,0,7,1200,200,1921,1440,3840,93.0,7
3,2.5,4800,1.0,0,7,1200,200,1921,1440,3840,94.0,7
4,3.0,9892,2.0,0,10,3690,0,1998,3430,11294,16.0,4
2,1.0,8340,1.0,0,7,1140,0,1948,1030,8149,66.0,19
4,2.0,3225,1.5,0,7,1300,620,1923,1960,3750,91.0,0
4,2.5,8058,2.0,0,9,2496,0,1998,2496,7757,16.0,10
3,2.0,8500,1.0,0,7,1680,600,1977,1890,7700,37.0,3
2,1.0,4000,1.0,0,7,880,0,1940,1310,4000,74.0,7
3,2.0,1298,3.0,0,7,1320,0,1995,1380,1503,19.0,7
3,2.5,3582,2.0,0,9,2450,0,2008,2490,5449,7.0,3
3,1.0,8970,1.0,0,6,1040,0,1961,1040,8450,54.0,17
3,2.5,53250,2.0,0,9,2480,0,1990,2510,36549,25.0,14
5,2.0,16650,1.5,0,7,1610,220,1958,1790,12743,57.0,19
3,2.5,4473,2.0,0,7,1440,0,2003,1650,3322,12.0,2
4,2.5,3632,2.0,0,7,1580,0,2011,1950,3800,3.0,14
3,3.0,5000,2.0,0,9,3230,0,2006,2670,3977,8.0,4
4,2.5,39639,1.0,0,7,1230,580,1970,1810,44866,44.0,12
4,1.5,12728,1.0,0,7,1180,560,1964,1830,11125,51.0,6
3,2.0,3000,1.0,2,6,840,840,1900,1540,3700,114.0,7
3,2.5,6000,1.0,3,8,1720,1330,1984,2340,7200,31.0,19
3,2.0,10969,2.0,0,7,1630,0,1991,1410,7920,23.0,6
3,3.0,6413,2.0,0,9,2460,0,2004,2440,6092,11.0,3
3,1.0,6600,1.0,0,7,1030,0,1954,1220,9040,60.0,8
3,2.5,13809,1.0,3,10,2450,960,1973,3410,14245,41.0,17
3,3.0,5200,1.0,0,7,1520,790,1940,2310,5200,75.0,7
3,3.0,10327,1.0,0,9,2330,0,1998,2200,4629,16.0,3
3,2.0,11393,1.0,0,8,1790,0,1978,2290,11894,36.0,10
3,2.5,2150,2.5,0,7,1230,520,1900,1410,3300,0.0,13
6,3.0,8400,1.0,0,8,1550,1110,1962,2280,8400,52.0,15
2,1.5,3680,1.0,2,8,1280,300,1941,1730,3680,73.0,0
3,2.5,15639,2.0,0,8,1480,0,1987,1480,16454,27.0,9
3,2.0,223377,1.0,0,7,1240,480,1950,2530,221442,65.0,2
3,2.0,4653,2.0,0,7,1470,0,1985,1560,4119,29.0,4
3,2.0,6930,1.0,0,7,1250,290,1944,1760,6930,71.0,19
3,2.5,5001,2.0,0,9,2820,0,2004,2660,5001,10.0,4
4,2.0,12705,1.0,0,7,1250,0,1971,1390,8550,43.0,17
4,2.0,7526,1.0,0,7,1280,800,1985,1200,7500,29.0,12
4,3.0,49936,2.0,0,10,5180,0,1991,4240,35363,24.0,18
4,2.5,35868,2.0,0,9,2710,0,1989,2780,36224,25.0,14
